decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit,name,rp_realised,played,rebuy_price,value_realised,value_ex_ante,surplus_realised,surplus_ex_ante,right_call_realised,right_call_ex_ante
2024,27475,2023,17,2,0,5.908451132238069,465.0,0.0,0.0,HIT,OF,2002.0,1,22.0,0,Jordan Walker,1.0206933279148716,1,11.0,0.0,8.664066488279069,17.0,8.335933511720931,1,1
2024,16252,2023,45,2,0,10.74098777875528,691.0,0.0,0.0,HIT,UNKNOWN,1993.0,1,31.0,0,Trea Turner,8.285166704985462,1,26.0,24.163998688994667,40.179823458686805,20.836001311005333,4.820176541313195,1,1
2024,12161,2023,22,2,0,8.919884065593115,665.0,0.0,0.0,HIT,MI,1992.0,1,32.0,0,Xander Bogaerts,4.604181288991951,1,7.0,0.15817105276267274,28.30335645180148,21.841828947237328,-6.303356451801481,1,0
2024,14212,2023,23,2,1,12.46522475148478,0.0,56.333333333333336,33.0,PIT,UNKNOWN,1994.0,1,30.0,1,Josh Hader,10.035591834689644,1,,35.5795299136589,51.42456661673353,12.579529913658902,28.42456661673353,1,1
2024,18314,2023,23,2,0,7.544871630521282,638.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,30.0,0,Dansby Swanson,6.296184120810056,1,4.0,11.192696798004981,19.336107798603273,11.807303201995019,3.6638922013967274,1,1
2024,14221,2023,6,2,1,8.101409121782858,580.0,0.0,0.0,HIT,UTIL,1992.0,1,32.0,0,Jorge Soler,5.651205027851009,1,,6.986416363620493,22.96560957013377,0.986416363620493,16.96560957013377,1,1
2024,19352,2023,19,2,0,6.1593901414718175,438.0,0.0,0.0,HIT,C,1994.0,1,30.0,0,Sean Murphy,1.1781639884027613,1,2.0,0.0,10.300584410001477,19.0,8.699415589998523,1,1
2024,17312,2023,13,2,1,13.440530806520362,0.0,173.33333333333331,0.0,PIT,SP,1995.0,1,29.0,1,Justin Steele,5.839343783987821,1,,8.213377636515512,57.78509957294421,-4.786622363484488,44.78509957294421,0,1
2024,30116,2023,17,2,0,8.23339502076462,583.0,0.0,0.0,HIT,OF,1994.0,1,30.0,0,Seiya Suzuki,7.754463076494645,1,16.0,20.70297442736094,23.826365694730946,-3.702974427360939,-6.826365694730946,0,0
2024,13743,2023,30,2,0,7.502511118211235,0.0,77.66666666666667,0.0,PIT,SP,1994.0,1,30.0,1,Max Fried,7.262146640919472,1,19.0,17.492295177301514,19.059850481016753,12.507704822698486,10.940149518983247,1,1
2024,11737,2023,23,2,0,10.136868548055652,671.0,0.0,0.0,HIT,OF,1992.0,1,32.0,0,Nick Castellanos,6.9746179489380715,1,9.0,15.6171548439042,36.24001373792645,7.382845156095801,-13.240013737926454,1,0
2024,16376,2023,18,2,0,5.0073101004928855,470.0,0.0,0.0,HIT,OF,1993.0,1,31.0,0,Michael Conforto,4.6728759024180455,1,3.0,0.6061682228354929,2.787206398038149,17.393831777164507,15.21279360196185,1,1
2024,8700,2023,30,2,0,11.500377808649688,0.0,162.33333333333331,0.0,PIT,SP,1983.0,1,41.0,1,Justin Verlander,-1.332339006138298,1,4.0,0.0,45.13224355986723,30.0,-15.132243559867227,1,0
2024,15873,2022,19,1,1,4.975428160956014,0.0,117.66666666666669,1.0,PIT,SP,1992.0,1,32.0,1,Sean Manaea,8.28100150214486,1,,24.1368350004272,2.579285893407641,5.136835000427201,-16.42071410659236,1,0
2024,9218,2022,36,1,0,9.160227349757106,687.0,0.0,0.0,HIT,CI,1987.0,1,37.0,0,Paul Goldschmidt,6.004771170678836,1,18.0,9.292224978306722,29.87077354291469,26.70777502169328,6.129226457085309,1,1
