rank,fg_id,roto_points,name,PA,HR,R,RBI,SB,IP,W,SV,K,AVG,ERA,WHIP,role,hindsight_$,drafted_$,team,current_$,contract,bargain
98,13510,7.060510028612494,José Ramírez,549.0,16.0,76.0,59.0,38.0,0.0,0.0,0.0,0.0,0.242914979757085,,,HIT,10.372614420256062,43.0,Lisbon Long Balls,43.0,2,-32.62738557974394
99,23733,7.051686403010995,Ezequiel Duran,574.0,17.0,72.0,83.0,13.0,0.0,0.0,0.0,0.0,0.2695984703632887,,,HIT,10.334348582358599,,Producers,10.0,2,0.334348582358599
100,17995,7.0378561510407085,Logan Webb,0.0,0.0,0.0,0.0,0.0,185.0,11.0,0.0,150.0,,3.502702702702703,1.1027027027027028,PIT,10.274370269148418,27.0,Spehr's Army,27.0,2,-16.72562973085158
101,22266,7.030119940633206,Xavier Edwards,669.0,8.0,74.0,59.0,25.0,0.0,0.0,0.0,0.0,0.28429752066115704,,,HIT,10.240820276575766,,Producers,10.0,1,0.2408202765757661
102,13164,7.012791096278914,Eduardo Rodriguez,0.0,0.0,0.0,0.0,0.0,186.1,14.0,0.0,137.0,,3.046749059645352,1.2681354110693177,PIT,10.165669450944737,,New York Polar Bears,10.0,2,0.16566945094473695
103,27490,6.950081989082033,Nick Gonzales,632.0,9.0,81.0,70.0,6.0,0.0,0.0,0.0,0.0,0.2986111111111111,,,HIT,9.893715875502593,,Orange and Black Attack,10.0,2,-0.10628412449740665
104,19996,6.9410381284851095,Dylan Lee,0.0,0.0,0.0,0.0,0.0,71.1,6.0,1.0,87.0,,2.1518987341772156,0.8298171589310831,PIT,9.854494933998645,,,,,
105,10954,6.921266834086866,Jacob deGrom,0.0,0.0,0.0,0.0,0.0,162.2,11.0,0.0,192.0,,3.773119605425401,1.1097410604192355,PIT,9.768751818794655,,Pookie 2.0,21.0,F,-11.231248181205345
106,21479,6.90897477852616,Nico Hoerner,694.0,10.0,71.0,74.0,26.0,0.0,0.0,0.0,0.0,0.26424050632911394,,,HIT,9.71544427530225,,Pookie 2.0,1.0,1,8.71544427530225
107,20123,6.893750424588591,Juan Soto,455.0,26.0,61.0,66.0,10.0,0.0,0.0,0.0,0.0,0.28217821782178215,,,HIT,9.649420093613301,,The Fighting Phils,36.0,1,-26.3505799063867
108,26294,6.889025360531273,Bryson Stott,587.0,11.0,68.0,69.0,29.0,0.0,0.0,0.0,0.0,0.2650375939849624,,,HIT,9.628928683002934,,Spehr's Army,10.0,2,-0.37107131699706564
109,21711,6.860922496035816,Oneil Cruz,405.0,20.0,62.0,61.0,28.0,0.0,0.0,0.0,0.0,0.2602739726027397,,,HIT,9.507053650470409,20.0,All-Stars,20.0,2,-10.492946349529591
110,34985,6.853187292730977,JJ Wetherholt,681.0,20.0,97.0,63.0,16.0,0.0,0.0,0.0,0.0,0.2463295269168026,,,HIT,9.4735080254479,5.0,Pookie 2.0,5.0,2,4.4735080254479005
111,18839,6.839102603898689,Josh Naylor,643.0,15.0,62.0,64.0,29.0,0.0,0.0,0.0,0.0,0.2636986301369863,,,HIT,9.412426283765546,,Spehr's Army,9.0,F,0.41242628376554613
112,33824,6.807676041618346,Jung Hoo Lee,617.0,12.0,77.0,63.0,10.0,0.0,0.0,0.0,0.0,0.2912966252220249,,,HIT,9.27613721255996,,,,,
113,21636,6.775449760993438,Jeremy Peña,481.0,18.0,77.0,57.0,12.0,0.0,0.0,0.0,0.0,0.2853881278538813,,,HIT,9.136379964675212,,McBlocks,10.0,1,-0.8636200353247876
114,29995,6.753563268624611,Daylen Lile,650.0,19.0,79.0,80.0,15.0,0.0,0.0,0.0,0.0,0.2478920741989882,,,HIT,9.04146376956973,8.0,Spehr's Army,8.0,2,1.0414637695697309
115,18345,6.735101200957824,Kyle Tucker,633.0,18.0,91.0,78.0,12.0,0.0,0.0,0.0,0.0,0.24558303886925795,,,HIT,8.961398440362057,,McBlocks,33.0,F,-24.038601559637943
116,29805,6.718019247497812,TJ Rumfield,618.0,17.0,67.0,76.0,1.0,0.0,0.0,0.0,0.0,0.2910714285714286,,,HIT,8.88731831824516,,New York Polar Bears,10.0,2,-1.1126816817548395
117,13743,6.716278104553258,Max Fried,0.0,0.0,0.0,0.0,0.0,127.1,8.0,0.0,118.0,,3.044846577498033,1.046420141620771,PIT,8.879767420611728,,New York Polar Bears,17.0,1,-8.120232579388272
118,29844,6.646464823271748,Liam Hicks,551.0,18.0,69.0,82.0,4.0,0.0,0.0,0.0,0.0,0.2762096774193548,,,HIT,8.577004834656762,,New York Polar Bears,10.0,2,-1.422995165343238
119,18383,6.607085472912645,Michael Soroka,0.0,0.0,0.0,0.0,0.0,123.1,11.0,0.0,119.0,,3.1437855402112107,1.1291632818846467,PIT,8.40622652816415,,Orange and Black Attack,10.0,2,-1.5937734718358492
120,37123,6.58873890461935,Kazuma Okamoto,629.0,31.0,79.0,94.0,1.0,0.0,0.0,0.0,0.0,0.22847100175746923,,,HIT,8.32666209059705,11.0,All-Stars,11.0,2,-2.6733379094029495
121,13301,6.574442834153383,Max Muncy,546.0,28.0,80.0,74.0,3.0,0.0,0.0,0.0,0.0,0.2474437627811861,,,HIT,8.264663640104263,1.0,,,,
122,13301,6.574442834153383,Max Muncy,546.0,28.0,80.0,74.0,3.0,0.0,0.0,0.0,0.0,0.2474437627811861,,,HIT,8.264663640104263,4.0,,,,
123,20599,6.57162910851282,Iván Herrera,689.0,18.0,94.0,68.0,9.0,0.0,0.0,0.0,0.0,0.2524271844660194,,,HIT,8.252461221947328,1.0,Producers,1.0,2,7.252461221947328
124,35466,6.514503670870632,Payton Tolle,0.0,0.0,0.0,0.0,0.0,141.0,9.0,0.0,162.0,,3.382978723404255,1.127659574468085,PIT,8.004722612518314,,Lisbon Long Balls,10.0,2,-1.9952773874816856
125,20039,6.503616988779526,Adrian Morejon,0.0,0.0,0.0,0.0,0.0,80.1,10.0,3.0,95.0,,2.9213483146067416,1.073657927590512,PIT,7.9575098191662565,,,,,
126,13419,6.495638787152095,Christian Walker,651.0,29.0,79.0,90.0,1.0,0.0,0.0,0.0,0.0,0.23429541595925296,,,HIT,7.922910371730876,,,,,
127,32127,6.490732539259777,Chase DeLauter,565.0,17.0,62.0,74.0,9.0,0.0,0.0,0.0,0.0,0.27788649706457924,,,HIT,7.901633212543577,5.0,NPB No Stars,5.0,2,2.901633212543577
