fg_id,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,draft_year,draft_salary,contract,acquisition,salary,keeper_cost,years_controlled,redraft_value_2028,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,surplus_multiyear,surplus_redraft
21707,0.9153268084764988,0.41471997384013326,0.8150244729173564,0.17795832862973252,-0.4474992759136239,0.0,0.0,0.0,0.0,0.0,1.8755303079500971,304.8250950570342,274.6902947852362,62.040033882255294,6.3973225370120215,36.09447694260088,31.56446434644463,3.62197118651419,0.0,0.0,0.0,0.0,0.0,0.0,Oswaldo Cabrera,0.049429657794676805,1.9683418777831831,0.22585448070074943,,,HIT,-2.26004747704755,0.0,0.0,3.7210037214283913,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21693,0.7630615383415763,0.46408363302788097,0.9110451356894436,0.0,-0.2033638435399407,0.0,0.0,0.0,0.0,0.0,1.93482646351896,275.5,247.01126571270458,59.201919506202756,7.158788753618439,30.09013485281605,35.28317573156749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miguel Amaya,0.5,2.0,0.2396729531156676,,,HIT,-2.2007513214786867,0.0,0.0,3.8816353018568,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21682,0.9382901424915365,0.45378981598711876,0.903733269128661,0.09826601011754643,-0.7399325465135996,0.0,0.0,0.0,0.0,0.0,1.6541466912112632,366.0,338.0,73.0,7.0,37.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Luis De Los Santos,0.0,1.639344262295082,0.21597633136094674,,,HIT,-2.4814310937863837,0.0,0.0,2.744962469081618,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21662,0.0,0.0,0.0,0.0,0.0,0.8086263422761555,0.47366489082507435,1.0756591913532252,-0.45744005111962494,-0.4771484793714645,1.4233618939633654,0.0,0.0,49.56865781342822,0.0,0.0,0.0,0.0,57.59228269699432,3.0607402312946017,3.1136664482307936,63.54525573802395,25.992703853705095,25.052750582019687,Elvis Alvarado,0.4313566206336312,1.1286234362680034,,4.0619041949444155,1.2956841594219761,PIT,-2.7122158910342815,0.0,0.0,1.612401286589464,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21656,0.0,0.0,0.0,0.0,0.0,0.6983692656046919,0.07699190745264106,0.6637397682822078,-0.5795604380788475,-0.5481576183671073,0.311382884893586,0.0,0.0,36.56366283903195,0.0,0.0,0.0,0.0,40.763924794359575,2.643404989156234,0.5061112268696957,39.210851966902766,19.964571266971248,19.188971228077936,Kervin Castro,0.17743830787309048,1.5945471474570556,,4.407846945777982,1.367695440229648,PIT,-3.824194900104061,0.0,0.0,0.5296703279835949,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21652,0.0,0.0,0.0,0.0,0.0,0.7925791944135003,0.07699190745264106,0.6432431311620943,-0.6613427573202947,-0.8909097956132334,-0.03943831990529234,0.0,0.0,46.0,0.0,0.0,0.0,0.0,47.0,2.9999999999999996,0.5061112268696957,38.0,23.0,22.0,Elvis Peguero,0.0,1.3829787234042554,,4.404255319148936,1.446808510638298,PIT,-4.175016104902939,0.0,0.0,-0.025257969949648906,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21649,0.0,0.0,0.0,0.0,0.0,1.1686693009536733,0.17616015329574938,1.2789608853594172,-1.276759045733126,-1.3592797836343584,-0.012248489758644565,0.0,0.0,74.7325260138185,0.0,0.0,0.0,0.0,77.95,4.423542691472523,1.1580000322099702,75.55543353545855,39.48654461402301,36.780600163570824,Luis Medina,0.5,1.0,,4.5590622389507,1.4305724974649048,PIT,-4.147826274756292,0.0,0.0,-0.012248489758644565,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21797,1.0546319372240036,0.9034532499921611,1.3025549804334544,0.04159742853670977,-0.2012555829763268,0.0,0.0,0.0,0.0,0.0,3.1009820132100017,343.49433106575964,309.2227878301737,74.99677548666592,13.936347901920843,41.58775618559811,50.44566341917032,0.846629032499654,0.0,0.0,0.0,0.0,0.0,0.0,Andrés Chaparro,0.4331065759637188,1.746753718288102,0.24253314580377705,,,HIT,-1.0345957717876453,0.0,0.0,5.426344934142483,9.598839762833991,9.598839762833991,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19422,0.46573694400883836,0.23178515914602443,0.48072339405813397,0.0,-0.5804001453795293,0.0,0.0,0.0,0.0,0.0,0.5978453518334674,210.3030303030303,188.13978165493316,37.91935929528955,3.5754352717078763,18.365605848281046,18.617571541055366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brian Serven,0.24242424242424243,2.0,0.20154886415695636,,,HIT,-3.5377324331641793,0.0,0.0,1.2235028028201478,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19409,0.0,0.0,0.0,0.0,0.0,1.0567722592180004,0.07699190745264106,1.3203411639642988,-1.262817805381502,-1.0953722128490948,0.09591531240434326,0.0,0.0,91.0,0.0,0.0,0.0,0.0,91.7,4.0,0.5061112268696957,78.0,45.0,33.0,Dane Dunning,0.0,1.0,,4.416575790621592,1.352235550708833,PIT,-4.039662472593304,0.0,0.0,0.09591531240434326,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19407,0.0,0.0,0.0,0.0,0.0,1.2335955376952648,0.0,1.2594060316541336,-1.0188016242627156,-0.9666207925585002,0.5075791525281825,0.0,0.0,71.66623866031452,0.0,0.0,0.0,0.0,78.93693045563549,4.669295685744482,0.0,74.40021802704214,38.226350740981616,35.29828225306713,Ronel Blanco,0.4404476418864908,1.9002512402519087,,4.358380224351287,1.355063090190698,PIT,-3.627998632469464,0.0,0.0,1.154241978107225,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19403,0.0,0.0,0.0,0.0,0.0,0.7925791944135004,0.07699190745264106,0.6263156803420391,-0.6456734894432564,-0.6491485684111675,0.20106472435375655,0.0,0.0,40.0,0.0,0.0,0.0,0.0,42.3,3.0,0.5061112268696957,37.0,21.0,19.0,Colin Poche,0.0,1.5366430260047281,,4.468085106382979,1.3947990543735225,PIT,-3.9345130606438903,0.0,0.0,0.34326345065497166,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19392,1.2314119868185764,0.4645183205868167,0.9383265561796201,0.39161732975956753,-0.4327108996049983,0.0,0.0,0.0,0.0,0.0,2.593163293739582,420.5,377.5163165812662,88.28523133457365,7.165494089007977,48.55880015034721,36.33973716376618,7.97055521621591,0.0,0.0,0.0,0.0,0.0,0.0,Zach McKinstry,0.5,1.426872770511296,0.23385805449171598,,,HIT,-1.5424144912580648,0.0,0.0,3.7125505005260555,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19388,0.0,0.0,0.0,0.0,0.0,1.3209653240225008,0.07699190745264106,1.2695588115041334,-2.0400030585145075,-0.6137055163536247,0.013807468111143084,0.0,0.0,78.0,0.0,0.0,0.0,0.0,86.7,5.0,0.5061112268696957,75.0,47.99999999999999,33.0,Tony Gonsolin,0.0,1.0,,4.982698961937715,1.2802768166089964,PIT,-4.121770316886504,0.0,0.0,0.013807468111143084,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19384,1.2426004589752782,0.6482711656958839,1.1361218240474595,0.14739901517631965,-0.6698873317896089,0.0,0.0,0.0,0.0,0.0,2.5045051321053324,412.0,357.0,79.0,10.0,49.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Trenton Brooks,0.0,1.4563106796116505,0.22128851540616246,,,HIT,-1.6310726528923145,0.0,0.0,3.667505926439254,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
19374,0.0,0.0,0.0,0.0,0.0,1.654593495977458,0.0,1.7642045109907045,-2.623154959175633,-1.9763178829613797,-1.18067483516885,0.0,0.0,122.89187885835318,0.0,0.0,0.0,0.0,120.55,6.262819567961931,0.0,104.22151154032777,65.79430079294194,48.611138495705355,Walker Buehler,0.5,1.244296972210701,,4.912058955922666,1.4226712347910289,PIT,-5.316252620166497,0.0,0.0,-1.3500830424706547,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
