season,team,player,fg_id,match,salary,log_salary,pos,pos_group,role,rp_prior1,rp_prior2,rp_prior_best,rp_prior_mean,PA_prior1,IP_prior1,SV_prior1,PA_prior2,IP_prior2,SV_prior2,played_prior1,played_prior2,has_prior_window,no_prior_line,auction_tenure,ever_bought_before,last_salary,last_salary_season,years_since_last,birth_year,age,rp_realized,played,rp_R_prior1,rp_HR_prior1,rp_RBI_prior1,rp_SB_prior1,rp_AVG_prior1,rp_W_prior1,rp_SV_prior1,rp_K_prior1,rp_ERA_prior1,rp_WHIP_prior1
2022,Milwaukee Beers,Adam Wainwright,2233,exact,17,2.833213344056216,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1981.0,41.0,6.235922506360554,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Moben,Charlie Blackmon,7859,exact,16,2.772588722239781,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1986.0,36.0,7.834594928967689,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Moben,Nelson Cruz,2434,exact,16,2.772588722239781,U,UTIL,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1980.0,42.0,5.236643511437523,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Micks,Robert Suarez,30115,exact,16,2.772588722239781,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,5.246742836189552,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Micks,Ranger Suarez,17277,exact,15,2.70805020110221,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1995.0,27.0,5.2530498955634375,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,All-Stars,Zac Gallen,19291,exact,15,2.70805020110221,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1995.0,27.0,16.4780658159727,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Block Bombers,Tommy Pham,2967,exact,15,2.70805020110221,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1988.0,34.0,7.794434151708742,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Block Bombers,Jack Flaherty,17479,exact,15,2.70805020110221,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1995.0,27.0,-0.1000617677767656,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Micks,Jeff McNeil,15362,exact,14,2.6390573296152584,2B,MI,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1992.0,30.0,9.442325087295927,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,All-Stars,Frank Schwindel,15351,exact,14,2.6390573296152584,U,UTIL,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1992.0,30.0,1.2791702619842629,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
