fg_id,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,pt_scale_kind,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,upside_kind
20039,0.0,0.0,0.0,0.0,0.0,2.6389211713517517,0.37449664498196605,1.4833105939842814,0.47010183573481745,0.18039207844134705,5.147222324494164,0.0,0.0,60.14162931714863,0.0,0.0,0.0,0.0,71.64,9.684777057033978,2.461777642890519,77.96052150643901,25.717845582675977,21.53757783549257,Adrian Morejon,0.5,1.0,health,,3.2308851234517557,1.1401341031915297,PIT,0.3361655021653034,3.178766595799558,10.713880787654567,5.147222324494164,3.178766595799558,0.0,health
17969,0.0,0.0,0.0,0.0,0.0,2.179850836677855,0.0,2.625647674161906,0.4533017013510522,-0.1138564054521167,5.144943806738698,0.0,0.0,113.0,0.0,0.0,0.0,0.0,142.2,8.0,0.0,138.0,54.0,56.0,Peter Lambert,1.0,1.0548523206751055,health,,3.417721518987342,1.188466947960619,PIT,0.3338869844098369,3.1639989937060347,10.692981287027811,5.4252269297952855,4.980578928138996,1.8165799344329616,health
26323,1.9142066631178085,1.3636709874070272,1.9353990943945731,0.35987171757404074,-0.4318802568142537,0.0,0.0,0.0,0.0,0.0,5.1412682056791965,527.9,472.6967293578728,112.51287555970742,18.87484286722744,64.70824447226906,65.45561896247041,6.155053537720496,0.0,0.0,0.0,0.0,0.0,0.0,Spencer Steer,0.5,1.1365788975184694,health,0.23802338491435876,,,HIT,0.33021138335033573,3.1401765706544613,10.659267164562689,5.847414796657232,7.716876423110273,4.576699852455812,health
28312,1.8366551683966217,1.5346183579783887,2.0608774313063654,0.2124688198939854,-0.5120144950765545,0.0,0.0,0.0,0.0,0.0,5.132605282498806,496.7,446.99061834638445,104.64112982159169,21.240959612319617,62.08667744071621,69.69932364990699,3.633953149637865,0.0,0.0,0.0,0.0,0.0,0.0,Coby Mayo,0.5,1.2079726192872962,health,0.23410140062604762,,,HIT,0.32154846016994565,3.0840301560883097,10.579807275341402,6.207270982683004,10.049187836252372,6.9651576801640624,health
23003,1.6315741750035957,1.2437549078716743,1.938994882835359,0.02539875777917516,0.2801535476478149,0.0,0.0,0.0,0.0,0.0,5.119876271137619,512.6,477.75848274453756,126.04322493376809,17.2150604274855,55.154076424963186,65.57722931081221,0.43440677966101693,0.0,0.0,0.0,0.0,0.0,0.0,Yainer Diaz,0.5,1.1705033164260632,health,0.26382205546555354,,,HIT,0.3088194488087579,3.0015304808608634,10.463051555407736,5.989176223214953,8.635665111323066,5.634134630462203,health
18564,2.096766170571908,1.5651891696434463,1.938270505848767,0.4286747297345633,-0.9190178587713368,0.0,0.0,0.0,0.0,0.0,5.109882717027348,525.9,458.5289037191299,100.57098088311315,21.66409633065572,70.87952444254981,65.55273072333387,7.331823488577559,0.0,0.0,0.0,0.0,0.0,0.0,Trent Grisham,0.5,1.1409013120365088,health,0.2193340050482783,,,HIT,0.29882589469848764,2.936759938587714,10.371386572815421,5.838522669013454,7.6592444812511,4.722484542663386,health
17548,2.110267962673792,1.242410536509871,1.9787024245626375,0.25127490027231575,-0.47722302950254636,0.0,0.0,0.0,0.0,0.0,5.10543279451607,596.3,526.7729656130691,125.39834130570506,17.196452714596127,71.3359418613041,66.92014702156487,4.297671610004415,0.0,0.0,0.0,0.0,0.0,0.0,Taylor Ward,0.5,1.0062049304041591,health,0.23805006993812583,,,HIT,0.29437597218720946,2.9079189585971443,10.33057005598541,5.137308499914406,3.1145127991075565,0.20659384051041219,health
27789,1.705073960014174,1.4899273271196154,1.9393569068975869,0.5378685540159002,-0.5671388860840192,0.0,0.0,0.0,0.0,0.0,5.105087861963257,460.13138686131384,419.9750983810508,96.87515901984425,20.62238211611746,57.63867860964956,65.58947304345685,9.199416304625391,0.0,0.0,0.0,0.0,0.0,0.0,Shay Whitcomb,0.08759124087591241,1.3039753799295664,health,0.23066881677815027,,,HIT,0.2940310396343966,2.9056833707125107,10.327406192949274,6.668802843384895,13.040482881453125,10.134799510740613,health
33322,1.6993195425230851,0.993910654008173,1.641896127013143,0.8527006554072853,-0.11142437286887795,0.0,0.0,0.0,0.0,0.0,5.076402606082809,434.2,388.0021321220911,96.5506291461804,13.756916141582533,57.44415507100385,55.52928467156647,14.58413631685679,0.0,0.0,0.0,0.0,0.0,0.0,Matt Shaw,0.40617577197149646,1.381851681252879,health,0.2488404602781904,,,HIT,0.2653457837539479,2.7197675735777054,10.064293245150735,7.017357052695205,15.299543561918789,12.579775988341083,health
17678,2.123415209777412,1.1900382188398455,1.9845643889333542,0.12897896667868886,-0.3629506518714037,0.0,0.0,0.0,0.0,0.0,5.064046132357897,589.1999999999999,520.8305966103292,125.87387228619025,16.471556991402746,71.78037416639945,67.11839993350046,2.205987318200033,0.0,0.0,0.0,0.0,0.0,0.0,Alex Bregman,0.5,1.0183299389002038,health,0.24167910469431492,,,HIT,0.2529893100290366,2.6396824011840394,9.950954593415974,5.1573072489383485,3.244129330400881,0.6044469292168415,health
28080,1.6526438342488956,1.0229270219522673,1.4452986456194432,1.0202242485833888,-0.08557548607373286,0.0,0.0,0.0,0.0,0.0,5.055518264330262,415.9,374.47174978113003,93.5590759029891,14.158537493492224,55.866319615660075,48.8803150257928,17.44937032796821,0.0,0.0,0.0,0.0,0.0,0.0,Jasson Domínguez,0.4780793319415449,1.442654484251022,health,0.24984281446510234,,,HIT,0.24446144200140107,2.584411310390009,9.872733485522096,7.295511219900875,17.10232523965368,14.51791392926367,health
23690,1.8843076702203176,0.7710771118567809,1.7902018008242915,0.8790197913647607,-0.2699334618064663,0.0,0.0,0.0,0.0,0.0,5.054672912459685,575.5999999999999,517.1147875620317,126.54255854253469,10.672632518556503,63.697532630563174,60.54501486544239,15.034284753018563,0.0,0.0,0.0,0.0,0.0,0.0,Brayan Rocchio,0.5,1.042390548992356,health,0.244708837546741,,,HIT,0.24361609013082397,2.578932388830698,9.864979570984204,5.269695144266532,3.9725413492904744,1.3936089604597766,health
15816,0.0,0.0,0.0,0.0,0.0,1.5659966683020246,2.0603568243148063,1.3863927013557347,0.16093605947527967,-0.12092143227850126,5.052760821169344,0.0,0.0,41.65521354701621,0.0,0.0,0.0,0.0,55.125,5.747170006140937,13.543887333675178,72.86666625908234,21.08200732564901,24.951534826722312,Devin Williams,0.39759036144578314,1.8458511492369427,health,,3.4419603796977976,1.2082856847843724,PIT,0.24170399884048344,2.566539681653194,9.84744108438474,9.324775110444753,30.254455218193716,27.687915536540523,role
19566,1.589931923913871,1.3133883796718022,2.0021510352838474,0.026626079243304093,0.11569125611787887,0.0,0.0,0.0,0.0,0.0,5.047788674230703,514.6,460.6335890862888,118.86327729583036,18.178871237177994,53.74639301448929,67.71318414399204,0.4553982300884956,0.0,0.0,0.0,0.0,0.0,0.0,Nathaniel Lowe,0.5,1.165954139137194,health,0.2580430088296582,,,HIT,0.2367318519018422,2.534314044014768,9.801834510632506,5.883958975077847,7.953727720167582,5.419413676152814,health
17586,0.0,0.0,0.0,0.0,0.0,1.325833790354324,1.9611885784716983,1.347850991724109,0.20926843143271173,0.1923780694409055,5.0365198614237485,0.0,0.0,48.36660073603066,0.0,0.0,0.0,0.0,60.900000000000006,4.865778035986816,12.891998528334904,70.84097332948467,23.088717014041563,20.53256660704505,Tanner Scott,0.47839046199701946,1.939187314135455,health,,3.4121256670997377,1.1313492174560873,PIT,0.22546303909488774,2.4612782543219947,9.698472331533084,9.735327248104333,32.915338853204375,30.45406059888238,role
33703,0.0,0.0,0.0,0.0,0.0,2.9663538432250727,0.0,3.1215056537193266,-0.5981526557460047,-0.4563445113158083,5.0333623298825865,0.0,0.0,133.14615624617568,0.0,0.0,0.0,0.0,155.48,10.886447066243731,0.0,164.06153211350644,66.46394734835933,56.7614422671916,Nolan McLean,0.5,1.0,health,,3.847282776789516,1.2214278268161003,PIT,0.2223055075537257,2.4408135599891283,9.669510155458221,5.0333623298825865,2.4408135599891283,0.0,health
33189,1.9505641354354815,0.8506643866963789,1.736119421702203,0.23375399549449088,0.2543043251573848,0.0,0.0,0.0,0.0,0.0,5.025406264485939,577.1999999999999,507.10967636925903,133.0638901215565,11.774215906852117,65.93728011008982,58.71593702271112,3.9980034180614705,0.0,0.0,0.0,0.0,0.0,0.0,Nolan Schanuel,0.5,1.0395010395010396,health,0.2623966694428922,,,HIT,0.2143494421570784,2.3892484546807085,9.596533856131689,5.223180680273407,3.6710703187505596,1.281821864069851,health
20352,1.8580347988282397,0.7158281314810816,1.5977466925757988,0.3380162909184755,0.5131101232114458,0.0,0.0,0.0,0.0,0.0,5.022736037015041,525.0,485.2864583333333,131.97041348863212,9.907920331529093,62.80939896256202,54.036141181777175,5.78125,0.0,0.0,0.0,0.0,0.0,0.0,Ernie Clement,0.5,1.1428571428571428,health,0.27194332589017833,,,HIT,0.21167921468618012,2.3719420910612827,9.572041433122154,5.7348369453747505,6.987233255619073,4.6152911645577905,health
27464,1.6790863214709548,1.3668520887592965,2.0630056340100333,0.033461181029051955,-0.12274853481631574,0.0,0.0,0.0,0.0,0.0,5.019656690453021,477.29999999999995,434.4995774254382,108.14511929395573,18.918873127255907,56.76018701283701,69.7712999289337,0.5723021582733812,0.0,0.0,0.0,0.0,0.0,0.0,Dillon Dingler,0.5,1.257071024512885,health,0.24889579855233313,,,HIT,0.20859986812416054,2.3519841317138677,9.543796401786091,6.3120039047213625,10.727986197618579,8.37600206590471,health
33644,1.9524195223673204,0.8669768518866654,2.010631638733554,0.40927377927426223,-0.22337217179205943,0.0,0.0,0.0,0.0,0.0,5.015929620469743,565.0,496.0,122.0,12.0,66.0,68.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Kristian Campbell,0.0,1.0619469026548674,health,0.24596774193548387,,,HIT,0.20487279814088222,2.327828126628667,9.509610185214106,5.327527071513781,4.347363484356127,2.0195353577274604,health
17338,1.9152128958644694,0.9462949557723376,1.4687025844416557,0.6316648753139193,0.040582138033574446,0.0,0.0,0.0,0.0,0.0,5.002457449425956,485.5,435.22488397954186,111.12348581030402,13.097857739288859,64.742259375582,49.67184133486494,10.803658458252709,0.0,0.0,0.0,0.0,0.0,0.0,Willi Castro,0.5,1.235839340885685,health,0.2553242930280785,,,HIT,0.19140062709709493,2.2405118611164845,9.3860378994604,6.181292533504433,9.880815481217814,7.64030362010133,health
29622,1.8561702830702143,0.541242884583255,1.624067583106072,0.7290281307957451,0.24546636370639802,0.0,0.0,0.0,0.0,0.0,4.995975245261684,512.9,464.5335217180687,122.08294813173066,7.491451012636841,62.746370479892235,54.92631943301863,12.468907547948401,0.0,0.0,0.0,0.0,0.0,0.0,Sal Frelick,0.5,1.1698186781048938,health,0.26280761758636734,,,HIT,0.18491842293282357,2.1984991923289465,9.326580460663212,5.841249371958876,7.676916875520849,5.4784176831919025,health
18900,1.8334786793781406,0.7537163410470039,1.5766614127339809,1.0390925519940852,-0.20774821499068438,0.0,0.0,0.0,0.0,0.0,4.995200770162526,501.4,456.0031194753108,112.1379594448194,10.43233861767095,61.979298738127966,53.323032424497924,17.77208370606216,0.0,0.0,0.0,0.0,0.0,0.0,Leody Taveras,0.5,1.1966493817311528,health,0.24591489543722483,,,HIT,0.1841439478336655,2.193479639565634,9.319476656981442,5.980168876209944,8.57728640605771,6.383806766492075,health
31793,1.9524195223673204,0.2889922839622218,1.5079737290501656,0.9354829240554565,0.2847501462476561,0.0,0.0,0.0,0.0,0.0,4.969618605682821,544.0,493.0,130.0,4.0,66.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Rhylan Thomas,0.0,1.1029411764705883,health,0.26369168356997974,,,HIT,0.1585617833539601,2.027675697585817,9.084826537931603,5.479009795162067,5.329158153945182,3.3014824563593654,health
19918,1.850967262112934,1.3337369290954968,1.885868435624749,0.521454065784333,-0.6245638961944125,0.0,0.0,0.0,0.0,0.0,4.9674627964231,479.29999999999995,435.4057623983441,99.78883328759655,18.460519579406462,62.57048646559795,63.78048129355881,8.91867167000766,0.0,0.0,0.0,0.0,0.0,0.0,Daulton Varsho,0.5,1.2518255789693304,health,0.22918583515737148,,,HIT,0.1564059740942394,2.0137033977164354,9.065052570023472,6.229228469643402,10.191499402456737,8.177796004740301,health
27493,1.5912967851065039,1.2760962535691345,1.9100886684856118,0.526122378855581,-0.34186551085354944,0.0,0.0,0.0,0.0,0.0,4.961738575163282,417.48684210526324,384.30585263828084,91.69722959832201,17.66270346146613,53.792531069185934,64.5996148448323,8.998516001977038,0.0,0.0,0.0,0.0,0.0,0.0,Rece Hinds,0.17763157894736842,1.4371710422641744,health,0.23860482209369305,,,HIT,0.1506817528344211,1.976603391952831,9.012547661724975,7.141062054834472,16.101304375144096,14.124700983191264,health
17998,0.0,0.0,0.0,0.0,0.0,1.334874741970406,2.5561980535303475,1.168580061798982,0.11004862130469259,-0.215393951354549,4.95430752724988,0.0,0.0,46.10475720957321,0.0,0.0,0.0,0.0,54.715,4.898958110380752,16.803331360376546,61.418769210813565,21.23977591435583,21.371676324067266,Pete Fairbanks,0.4313566206336312,1.4878002143641458,health,,3.493703431037237,1.2332346437657036,PIT,0.14325070492101943,1.9284410467353132,8.944387038376313,7.374496855617887,17.614249466083066,15.685808419347753,role
26438,1.6955986873257392,1.389716562960054,1.790238768615506,0.175256989227354,-0.10135237343865872,0.0,0.0,0.0,0.0,0.0,4.949458634689995,461.4,420.9751265209432,105.08208071873122,19.235344887501885,57.31837449966072,60.546265124193994,2.997501884354474,0.0,0.0,0.0,0.0,0.0,0.0,Dominic Canzone,0.5,1.3003901170351106,health,0.24961588963024745,,,HIT,0.1384018123611339,1.897014249315438,8.899911004405862,6.438041940374727,11.54486794221446,9.647853692899021,health
26151,1.6300419885236128,1.4354820159769883,1.9519414282761005,0.11745307443343835,-0.18562573062220591,0.0,0.0,0.0,0.0,0.0,4.949292776587933,469.9,419.40926779257427,103.24619069769284,19.868793675676685,55.10228207107542,66.01508429777788,2.0088546168092423,0.0,0.0,0.0,0.0,0.0,0.0,Kyle Stowers,0.5,1.2768674185997022,health,0.24617050367316856,,,HIT,0.13823595425907254,1.8959392844838703,8.898389685776824,6.322845797444659,10.79825501922165,8.90231573473778,health
31475,0.0,0.0,0.0,0.0,0.0,2.6779671362313127,0.0,2.1491896870255283,-0.3459304805841753,0.4582891768060325,4.939515519478698,0.0,0.0,87.31323888311486,0.0,0.0,0.0,0.0,103.91,9.828074806485745,0.0,112.95810162503709,43.95712500400886,28.121789937056096,Logan Henderson,0.5,1.4435569242613802,health,,3.807276730209602,1.110913567704465,PIT,0.1284586971498376,1.8325706132462436,8.80870866810989,7.125527101145002,16.000618736826375,14.168048123580132,health
30028,1.804508952491008,1.3727133488205536,2.010631638733554,0.11693536550693207,-0.37244069323988876,0.0,0.0,0.0,0.0,0.0,4.932348612312159,473.0,435.0,104.0,19.0,60.99999999999999,68.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Bob Seymour,0.0,1.2684989429175475,health,0.23908045977011494,,,HIT,0.12129178998329859,1.786120225478693,8.742970852172476,6.263522021750057,10.41376386832257,8.627643642843879,health
26599,1.6623785379967655,0.8740461735303818,1.5899487080485546,1.3329094825778784,-0.5299289734675439,0.0,0.0,0.0,0.0,0.0,4.929353928686036,436.1475409836066,391.87279060633,90.41239616262676,12.09784789471598,56.19539358772341,53.7724116464225,22.797371467554218,0.0,0.0,0.0,0.0,0.0,0.0,Jonatan Clase,0.18032786885245902,1.3756812629205035,health,0.23071873916720545,,,HIT,0.11829710635717561,1.7667109862570665,8.715502384055018,6.794720921773683,13.856587155192248,12.08987616893518,health
25979,1.7385705287832698,0.23279527635452157,1.163174149290076,2.4303238765268933,-0.6450202947217925,0.0,0.0,0.0,0.0,0.0,4.919843536232968,470.79999999999995,416.70865739859073,94.72112695904752,3.22216597845157,58.77100366245365,39.3388031044541,41.566960790537244,0.0,0.0,0.0,0.0,0.0,0.0,Nasim Nuñez,0.5,1.274426508071368,health,0.2273077971318574,,,HIT,0.10878671390410766,1.7050719267574408,8.628269158614167,6.281879953167574,10.532745880107937,8.827673953350496,health
20437,1.487652388621563,1.1722816930147901,1.749022091248326,0.6616459914776401,-0.16885697197578864,0.0,0.0,0.0,0.0,0.0,4.901745192386531,435.79999999999995,396.59905334577303,97.75250959677406,16.225785366200785,50.288914100783614,59.15230811736325,11.31643944685694,0.0,0.0,0.0,0.0,0.0,0.0,Royce Lewis,0.5,1.3767783386874715,health,0.24647691105694342,,,HIT,0.09068837005766994,1.5877723622336457,8.462263715973041,6.7526880386953625,13.584162290099576,11.99638992786593,health
26197,1.4830533760218452,1.1264006875234907,2.135399241515627,0.0,0.14753303971176493,0.0,0.0,0.0,0.0,0.0,4.892386344772727,504.5,456.8607857142857,118.45119885808256,15.590737193118112,50.133448111991754,72.2196675043495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrew Vaughn,0.5,1.1892963330029733,health,0.25927197641375216,,,HIT,0.08132952244386615,1.527115499989324,8.37642052203648,5.816309268475267,7.515274279787899,5.988158779798575,health
