fg_id,name,PA,AB,H,HR,R,RBI,SB,AVG,role,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,roto_points,z_R,z_HR,z_RBI,z_SB,z_AVG,z_total,IP,W,SV,K,ER,BB,ERA,WHIP,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,z_W,z_SV,z_K,z_ERA,z_WHIP
16478,Kyle Schwarber,691.0,615.0,151.0,46.0,94.0,96.0,4.0,0.24552845528455283,HIT,2.7807187136746685,3.3234112655655506,2.838538784094429,0.23387073101386413,-0.28842560258641486,8.888113891762098,1.093899766816591,2.769549211371748,1.265813372572481,-0.7016108387939551,-0.5760549385984474,1.1925850531398932,,,,,,,,,,,,,,,,,,
16530,Mauricio Dubón,622.0,569.0,150.0,13.0,72.0,79.0,8.0,0.26362038664323373,HIT,2.1299122062188953,0.9392249228772208,2.3358808744110404,0.46774146202772826,0.3229085954590977,6.195668060993983,0.02622465685121145,-0.774433197110453,0.4540675429729301,-0.3275732724170453,0.2992002425784932,-0.10594576267069099,,,,,,,,,,,,,,,,,,
16556,Ozzie Albies,684.0,621.0,160.0,25.0,94.0,84.0,4.0,0.2576489533011272,HIT,2.7807187136746685,1.806201774763886,2.4837214360826256,0.23387073101386413,0.13839555787377592,7.44290821340882,1.093899766816591,0.5142876787012564,0.6928163163845632,-0.7016108387939551,0.03503050913716946,0.49558157508262357,,,,,,,,,,,,,,,,,,
16578,Yandy Díaz,680.0,615.0,185.0,22.0,89.0,90.0,4.0,0.3008130081300813,HIT,2.6328081437983566,1.5894575617922198,2.661130110088527,0.23387073101386413,1.6528436292097801,8.770110175902747,0.8512463327335504,0.19210745974832896,0.9793148444785218,-0.7016108387939551,2.203285655500795,1.13567343037948,,,,,,,,,,,,,,,,,,
16997,Gleyber Torres,448.0,399.0,103.0,12.0,61.0,49.0,1.0,0.2581453634085213,HIT,1.8045089524910083,0.8669768518866654,1.4488375043815316,0.05846768275346603,0.1035843012480774,4.282375292760748,-0.507612898131479,-0.8818266034280955,-0.9784250974968645,-0.9821390135766376,-0.014809223078587255,-1.0287014188205532,,,,,,,,,,,,,,,,,,
17350,Rafael Devers,681.0,613.0,151.0,32.0,85.0,87.0,0.0,0.2463295269168026,HIT,2.514479687897307,2.3119382716977745,2.5724257730855764,0.0,-0.2595131837980121,7.139330548882646,0.6571235854671176,1.266041522924754,0.8360655804315426,-1.075648405170865,-0.5346606498022183,0.3491701049337207,,,,,,,,,,,,,,,,,,
17678,Alex Bregman,711.0,640.0,160.0,18.0,88.0,74.0,4.0,0.25,HIT,2.603226029823094,1.300465277829998,2.1880403127394557,0.23387073101386413,-0.13636131061432719,6.189241040792084,0.8027156459169421,-0.23746616552224067,0.21531876956129778,-0.7016108387939551,-0.35834249940219587,-0.10904542903746846,,,,,,,,,,,,,,,,,,
17901,Andrew Benintendi,493.0,447.0,111.0,16.0,62.0,76.0,2.0,0.2483221476510067,HIT,1.8340910664662708,1.1559691358488873,2.2471765374080896,0.11693536550693207,-0.14107012696098947,5.21310197826919,-0.45908221131487065,-0.45225297815752546,0.3108182789259509,-0.8886296219824101,-0.3650841734616602,-0.5798243166635272,,,,,,,,,,,,,,,,,,
17982,Ty France,486.0,441.0,125.0,22.0,59.0,70.0,1.0,0.2834467120181406,HIT,1.7453447245404834,1.5894575617922198,2.069767863402188,0.05846768275346603,0.7653839837129923,6.228421816201349,-0.6046742717646955,0.19210745974832896,0.02431975083199231,-0.9821390135766376,0.9326980533514929,-0.09014906214500278,,,,,,,,,,,,,,,,,,
18314,Dansby Swanson,623.0,565.0,124.0,23.0,99.0,87.0,21.0,0.21946902654867256,HIT,2.928629283550981,1.6617056327827753,2.5724257730855764,1.2278213378227867,-1.1126962122885924,7.277885814953527,1.3365532008996321,0.29950086606597154,0.8360655804315426,0.8880488183079117,-1.7561739702839547,0.41599346703439694,,,,,,,,,,,,,,,,,,
18345,Kyle Tucker,633.0,566.0,139.0,18.0,91.0,78.0,12.0,0.24558303886925795,HIT,2.6919723717488813,1.300465277829998,2.3063127620767236,0.7016121930415924,-0.26526140373937146,6.735101200957824,0.9483077063667665,-0.23746616552224067,0.40631778829060394,0.046464293959864525,-0.542890451606705,0.15421566650564936,,,,,,,,,,,,,,,,,,
18360,Austin Riley,638.0,579.0,131.0,20.0,67.0,77.0,8.0,0.22625215889464595,HIT,1.982001636342583,1.444961419811109,2.276744649742407,0.46774146202772826,-0.9129497170345762,5.258499450889251,-0.21642877723182977,-0.022679352886955856,0.35856803360827777,-0.3275732724170453,-1.470194295906247,-0.5579297193856876,,,,,,,,,,,,,,,,,,
18401,Ronald Acuña Jr.,466.0,412.0,104.0,20.0,69.0,49.0,23.0,0.2524271844660194,HIT,2.0411658642931076,1.444961419811109,1.4488375043815316,1.3447567033297187,-0.03137985606134458,6.248341635754122,-0.11936740359861372,-0.022679352886955856,-0.9784250974968645,1.0750676014963665,-0.20803917542857314,-0.08054199809971328,,,,,,,,,,,,,,,,,,
