team,fg_id,roster_name,roster_role,il,salary,contract,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,roto_points_2028,redraft_value_2028,keeper_cost,keeper_status,years_controlled,surplus_keep,surplus_redraft,extension_used,keepable,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,extension_years,surplus_multiyear,keep_2027,cash_equiv,surplus_vs_cash,keep_naive,keep_infl
All-Stars,31812,Roman Anthony,HIT,True,10,1,1.8044907694749928,0.8008744475004441,1.4522078917452623,0.3210005624572511,0.1159491055795918,0.0,0.0,0.0,0.0,0.0,4.494522776757542,430.16157205240177,372.11335479919137,96.38036798347731,11.085063400587368,60.99938533750391,49.11398723481644,5.490222073804042,0.0,0.0,0.0,0.0,0.0,0.0,Roman Anthony,0.45414847161572053,1.3948247332676864,0.2590080864888291,,,HIT,-0.28302906094056635,0.0,4.727052476012867,6.265520673852952,10.358750941183112,10.358750941183112,7.8280190768738525,20.18626415554403,10.0,keepable x1yr,1,-5.272947523987133,-10.0,False,True,-10.0,0.0,0.0,4.408324532212426,1,-5.591675467787574,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,20352,Ernie Clement,HIT,False,10,2,1.9642082159041392,0.7567325961371435,1.6890465035801303,0.3573315075423884,0.5404046970559903,0.0,0.0,0.0,0.0,0.0,5.307723520219792,555.0,513.0171130952381,139.5115799736968,10.47408720761647,66.39850747470842,57.12392067787873,6.111607142857143,0.0,0.0,0.0,0.0,0.0,0.0,Ernie Clement,0.5,1.0810810810810811,0.27194332589017833,,,HIT,0.5301716825216838,4.334575706310091,12.186063671731382,5.734836945374751,7.020954663002805,2.686378956692714,4.117165503650319,0.0,10.0,keepable x2yr,2,2.1860636717313824,-5.665424293689909,False,True,-5.665424293689909,0.0,0.0,0.0,0,-5.665424293689909,False,6.996167938353946,-2.661592232043855,False,False
All-Stars,29837,Bryce Miller,PIT,False,1,F,0.0,0.0,0.0,0.0,0.0,1.6898642275529543,0.0,2.1320035358362937,-0.5892425936363539,0.30882417707110477,3.541449346823999,0.0,0.0,104.97606634012831,0.0,0.0,0.0,0.0,120.5,6.201760961326501,0.0,112.0548239737919,52.26135094611651,32.12994499454869,Bryce Miller,0.5,1.2448132780082988,,3.903337415062644,1.137809222694415,PIT,-1.2361024908741092,0.0,0.0,4.415884554972764,0.0,0.0,2.9307581601902744,0.0,6.0,extension +$5,1,-6.0,-6.0,False,True,-6.0,0.0,0.0,0.0,1,-6.0,False,4.197700763012368,-4.197700763012368,False,False
All-Stars,23690,Brayan Rocchio,HIT,False,10,2,1.924900816694835,0.7876882240649534,1.8287676492089708,0.8979562844379421,-0.27537408456249174,0.0,0.0,0.0,0.0,0.0,5.16393888984421,588.0,528.2548559528747,129.26863172864907,10.902550244807548,65.06975188806663,61.84932025865207,15.358164410658299,0.0,0.0,0.0,0.0,0.0,0.0,Brayan Rocchio,0.5,1.0204081632653061,0.244708837546741,,,HIT,0.3863870521461017,3.4302257547798485,10.867211990438618,5.269695144266532,4.0953918668394085,0.66516611205956,4.69376086372874,0.47298704284364024,10.0,keepable x2yr,2,0.8672119904386175,-6.5697742452201515,False,True,-6.5697742452201515,0.0,0.0,0.0,0,-6.5697742452201515,False,6.996167938353946,-3.565942183574098,False,False
All-Stars,21390,Joe Ryan,PIT,True,14,1,0.0,0.0,0.0,0.0,0.0,2.6913722395409723,0.0,2.973024867128968,-0.5125766588997389,0.5220631651335199,5.673883612903721,0.0,0.0,131.1111937559347,0.0,0.0,0.0,0.0,146.75,9.877271212346576,0.0,156.25761053213512,62.35489273428284,33.508407720225726,Joe Ryan,0.5,1.0221465076660987,,3.824150150654485,1.1217690049482822,PIT,0.8963317752056126,6.6375816757663015,15.544634421588967,5.799534404436823,7.427876764579877,0.7902950888135756,4.448440960157594,0.0,14.0,keepable x1yr,1,1.5446344215889667,-7.3624183242336985,False,True,-7.3624183242336985,0.0,0.0,0.0,0,-7.3624183242336985,False,9.794635113695525,-3.157053437929224,False,False
All-Stars,23793,Braxton Ashcraft,PIT,False,10,2,0.0,0.0,0.0,0.0,0.0,2.5479239366182855,0.0,2.6741109620798538,0.014553834632006012,-0.23207838382860457,5.00451034950154,0.0,0.0,133.74570318564952,0.0,0.0,0.0,0.0,142.05,9.35081940010678,0.0,140.54715581168426,56.9001497697884,36.88173648013442,Braxton Ashcraft,0.5,1.0559662090813093,,3.6050781269137318,1.2011787375275178,PIT,0.2269585118034323,2.4274816342516825,9.404867942067447,5.285922676740889,4.197456796646628,1.7699751623949451,3.7340055181154916,0.0,10.0,keepable x2yr,2,-0.5951320579325525,-7.5725183657483175,False,True,-7.5725183657483175,0.0,0.0,0.0,0,-7.5725183657483175,False,6.996167938353946,-4.568686304102264,False,False
All-Stars,30122,Gavin Williams,PIT,False,19,2,0.0,0.0,0.0,0.0,0.0,2.8809897736708043,0.0,3.532755939760394,0.15726676401521333,-0.15751140859269683,6.413501068853715,0.0,0.0,139.4882083378274,0.0,0.0,0.0,0.0,166.25,10.573162989671355,0.0,185.67621409546064,65.63461249287299,58.49819629829829,Gavin Williams,0.5,1.0,,3.553151954501395,1.1908956669842146,PIT,1.6359492311556068,11.289490636356353,22.328709484028884,6.413501068853715,11.289490636356353,0.0,4.238687999594958,0.0,19.0,keepable x2yr,2,3.3287094840288844,-7.710509363643647,False,True,-7.710509363643647,0.0,0.0,0.0,0,-7.710509363643647,False,13.292719082872498,-2.003228446516145,False,False
All-Stars,19853,Michael King,PIT,False,3,F,0.0,0.0,0.0,0.0,0.0,2.47609070926903,0.0,2.652379702841053,-0.5037893676105315,-0.9131210925818017,3.71155995191775,0.0,0.0,127.75995955048958,0.0,0.0,0.0,0.0,143.7,9.087193188108783,0.0,139.40499427780225,61.06358673977484,55.21627032867931,Michael King,0.5,1.0438413361169103,,3.824441758232245,1.2733210151647105,PIT,-1.0659918857803583,0.0,0.0,3.880882336934534,0.0,0.0,1.7564837714482913,0.0,8.0,extension +$5,1,-8.0,-8.0,False,True,-8.0,0.0,0.0,0.0,1,-8.0,False,5.596934350683157,-5.596934350683157,False,False
All-Stars,21837,Jonathan Aranda,HIT,False,19,2,2.116263840698291,1.3210183257797417,2.2713655633401992,0.036819014027934346,0.5329641165189084,0.0,0.0,0.0,0.0,0.0,6.2784308603650745,565.5,500.9985622987545,136.31853982521142,18.284478847226666,71.53862778258453,76.81807812614522,0.6297327394209354,0.0,0.0,0.0,0.0,0.0,0.0,Jonathan Aranda,0.5,1.0610079575596818,0.272093674679893,,,HIT,1.5008790226669664,10.439951042445585,21.08979005924411,6.659148136914399,12.834516092233953,2.3945650497883673,4.664383594807805,0.2882153349403547,19.0,keepable x2yr,2,2.089790059244109,-8.560048957554415,False,True,-8.560048957554415,0.0,0.0,0.0,0,-8.560048957554415,False,13.292719082872498,-2.8527680404269127,False,False
All-Stars,7304,Salvador Perez,HIT,False,4,F,1.4567080196215307,1.530311045718939,2.141117418112336,0.0,-0.47804489525318417,0.0,0.0,0.0,0.0,0.0,4.650091588199622,570.0,524.2670640428273,124.75087264929743,21.181341241885715,49.242864145533325,72.41305748244669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salvador Perez,0.5,1.0526315789473684,0.23795290836562366,,,HIT,-0.127460249498486,0.19832411743248646,6.153993505740254,4.896572387513382,1.7485934218100203,1.550269304377534,3.6225992890593552,0.0,9.0,extension +$5,1,-2.846006494259746,-8.801675882567514,False,True,-8.801675882567514,0.0,0.0,0.0,1,-8.801675882567514,False,6.296551144518552,-6.0982270270860655,False,False
