team,fg_id,roster_name,roster_role,il,salary,contract,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,pt_scale_kind,AVG,ERA,WHIP,role,pt_extrapolated,reliever,SV_2026,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,upside_kind,roto_points_2028,redraft_value_2028,keeper_cost,keeper_status,years_controlled,surplus_keep,surplus_redraft,extension_used,keepable,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,extension_years,surplus_multiyear,keep_2027,value_lo,value_hi,surplus_lo,surplus_hi,p_surplus_positive
NPB No Stars,22267,Tarik Skubal,PIT,False,38,3,0.0,0.0,0.0,0.0,0.0,3.4598714520074947,0.0,4.056819065814069,2.6303333480409457,2.424076798695735,12.571100664558244,0.0,0.0,140.4408262178374,0.0,0.0,0.0,0.0,177.935,12.697644788504599,0.0,213.22016529161326,53.20766919186395,30.90926927494119,Tarik Skubal,0.5,1.0,health,,2.691258171392787,0.9629926405304104,PIT,,,,7.760043842229384,51.91111328910848,78.80874186516505,12.571100664558244,51.91111328910848,0.0,health,11.698209148431008,46.184357130229834,38.0,keepable x3yr,3,40.80874186516505,13.911113289108478,False,True,13.911113289108478,6.956703560695359,5.913198026591055,0.0,0,26.78101487639489,True,35.73422753694511,60.16156421584728,-2.26577246305489,46.57404596834964,0.864
NPB No Stars,27465,Spencer Torkelson,HIT,False,1,2,2.4328134622358584,2.151860248874791,2.694684289316507,0.0583578842882013,-0.4914799286003651,0.0,0.0,0.0,0.0,0.0,6.846235956114993,637.8,567.23748549037,135.37557265876828,29.78432807093342,82.23933773868424,91.13480965063286,0.9981220657276995,0.0,0.0,0.0,0.0,0.0,0.0,Spencer Torkelson,0.5,1.0,health,0.23865766300994323,,,HIT,,,,2.035179133786132,14.35214562577115,26.297931591619957,6.846235956114993,14.35214562577115,0.0,health,7.155962381861452,16.384159551259298,1.0,keepable x2yr,2,25.297931591619957,13.35214562577115,False,True,13.35214562577115,13.076535618570404,0.0,0.0,0,26.428681244341554,True,10.906392829292518,18.005500956819446,19.639358761196654,33.627052384996674,1.0
NPB No Stars,31912,Chandler Simpson,HIT,False,3,2,2.064649928148044,0.0,1.1745467957158622,2.743929386808374,1.0721654272763135,0.0,0.0,0.0,0.0,0.0,7.0552915379485945,560.1999999999999,516.0202439394079,149.4722526850753,0.0,69.79386023171212,39.72342848388987,46.93070184392951,0.0,0.0,0.0,0.0,0.0,0.0,Chandler Simpson,0.5,1.0710460549803642,health,0.289663544096589,,,HIT,,,,2.2442347156197338,15.723691022529282,28.215475246075155,7.551003500481765,18.97589531368985,3.2522042911605684,health,6.720732213406071,13.52875655823911,3.0,keepable x2yr,2,25.215475246075155,12.723691022529282,False,True,12.723691022529282,8.949443074503243,0.0,0.0,0,21.673134097032523,True,11.33225066042218,18.76588286870001,14.070035709671032,26.94021778994795,1.0
NPB No Stars,25880,Hunter Brown,PIT,False,10,1,0.0,0.0,0.0,0.0,0.0,3.0257655105940913,0.0,3.1311430120227137,1.16974775863681,-0.10813646393197947,7.218519817321635,0.0,0.0,126.43742232933431,0.0,0.0,0.0,0.0,154.885,11.104486452680149,0.0,164.56805683080003,54.187547954368874,57.40578524626247,Hunter Brown,0.5,1.0,health,,3.1487098917862926,1.1869658622564923,PIT,,,,2.407462994992774,16.794578454623956,29.712672061362987,7.218519817321635,16.794578454623956,0.0,health,7.81092955590987,20.681185273867392,10.0,keepable x1yr,1,19.712672061362987,6.794578454623956,False,True,6.794578454623956,0.0,0.0,4.829007482787283,1,11.623585937411239,True,6.001065398370841,23.15785178574606,-3.998934601629159,26.550911956299437,0.753
NPB No Stars,19326,Bryan Reynolds,HIT,False,4,2,2.099534334717606,1.201671660089092,2.06346227306725,0.3568434804389754,-0.024144926872045815,0.0,0.0,0.0,0.0,0.0,5.697366821440878,613.9,550.9689115290839,139.3826869297133,16.632577778390502,70.97310004529453,69.78674356131894,6.103260188087774,0.0,0.0,0.0,0.0,0.0,0.0,Bryan Reynolds,0.5,1.0,health,0.2529774076415484,,,HIT,,,,0.8863099991120169,6.8147904433872535,15.760032054705098,5.697366821440878,6.8147904433872535,0.0,health,4.134785301864923,0.0,4.0,keepable x2yr,2,11.760032054705098,2.8147904433872535,False,True,2.8147904433872535,0.0,0.0,0.0,0,2.8147904433872535,True,5.048095655353532,8.96110792552203,1.0480956553535326,4.961107925522031,0.972
NPB No Stars,20373,Andrés Muñoz,PIT,False,13,2,0.0,0.0,0.0,0.0,0.0,1.4113512766299818,2.853702791059672,1.6115554877222518,0.697456847511904,0.3556059456791991,6.92967234860301,0.0,0.0,44.242496351339625,0.0,0.0,0.0,0.0,61.685,5.179625148226802,18.75899777639737,84.70087570932685,20.297177803988248,23.229254789404994,Andrés Muñoz,0.45397815912636513,1.3326937983571319,health,,2.961410395329403,1.0938113178365019,PIT,,,,2.118615526274149,14.899544547317912,27.063244450347533,9.214060444341765,29.886668783079255,14.987124235761343,role,5.941163074469367,8.414258037867718,13.0,keepable x2yr,2,14.063244450347533,1.8995445473179124,True,True,1.8995445473179124,0.0,0.0,0.0,0,1.8995445473179124,True,5.171622566099204,22.338479076325026,-7.828377433900796,9.338479076325024,0.56
New York Polar Bears,24816,Andy Pages,HIT,False,10,1,2.3150108483435923,1.7436746316173188,2.586370527624389,0.619205601503175,0.27806904258881227,0.0,0.0,0.0,0.0,0.0,7.542330651677287,620.4,563.3296661083193,147.776771130764,24.13454930644804,78.25711341249928,87.47161463610338,10.590561697375767,0.0,0.0,0.0,0.0,0.0,0.0,Andy Pages,0.5,1.0,health,0.2623273369422531,,,HIT,,,,2.731273829348426,18.918995585157226,32.68279802124645,7.542330651677287,18.918995585157226,0.0,health,7.2344607269091945,16.899161556271807,10.0,keepable x1yr,1,22.682798021246448,8.918995585157226,False,True,8.918995585157226,0.0,0.0,1.6142873228310357,1,10.533282907988262,True,16.098552032251366,21.143122166250148,6.0985520322513675,14.446082289355482,0.999
New York Polar Bears,25768,CJ Abrams,HIT,False,22,2,2.769755973803039,1.8893683038501508,2.4714933051903296,1.7029313702513322,0.39203160679463683,0.0,0.0,0.0,0.0,0.0,9.225580559889488,642.9,583.692668930871,154.94508490618045,26.151124562164938,93.62941323663357,83.58644194955578,29.12602809028515,0.0,0.0,0.0,0.0,0.0,0.0,CJ Abrams,0.5,1.0,health,0.2654566232431663,,,HIT,,,,4.414523737560628,29.962248498822877,48.12225748004097,9.225580559889488,29.962248498822877,0.0,health,8.082440588877965,22.46248048813649,22.0,keepable x2yr,2,26.12225748004097,7.962248498822877,False,True,7.962248498822877,0.39310841491601545,0.0,0.0,0,8.355356913738893,True,26.609269410202,32.33281019837435,4.609269410202001,12.236532595934621,0.994
New York Polar Bears,25931,Michael Harris II,HIT,False,18,2,2.2319008154205418,1.6583223611725646,2.4357442643556064,0.8468681649350501,0.8597635078455705,0.0,0.0,0.0,0.0,0.0,8.032599113729333,608.0999999999999,564.9233710479858,158.30459476600547,22.953171460997858,75.44764438697428,82.3774016012738,14.484380516770981,0.0,0.0,0.0,0.0,0.0,0.0,Michael Harris II,0.5,1.0,health,0.2802231291517212,,,HIT,,,,3.221542291400472,22.135486847458896,37.17974170551359,8.032599113729333,22.135486847458896,0.0,health,7.894617105254837,21.23023195352706,18.0,keepable x2yr,2,19.179741705513592,4.135486847458896,False,True,4.135486847458896,2.745697160498001,0.0,0.0,0,6.881184007956897,True,19.378619207567194,23.876675702129088,1.8768122185563398,10.04185674329085,0.973
New York Polar Bears,19290,Randy Arozarena,HIT,False,11,1,2.4231676767388657,1.3939923852637588,2.023814035203745,1.3843479123354827,-0.31594086439378355,0.0,0.0,0.0,0.0,0.0,6.909381145148069,621.2,547.2248757279336,133.36667694534097,19.294527399160415,81.91326957786724,68.44583152015733,23.67714688082823,0.0,0.0,0.0,0.0,0.0,0.0,Randy Arozarena,0.5,1.0,health,0.24371457304080507,,,HIT,,,,2.0983243228192086,14.766420588372593,26.877125198782892,6.909381145148069,14.766420588372593,0.0,health,5.482951019824783,5.4080783952352265,11.0,keepable x1yr,1,15.877125198782892,3.7664205883725934,False,True,3.7664205883725934,0.0,0.0,0.0,0,3.7664205883725934,True,12.158231608372278,17.23122133365275,1.1582316083722768,6.231221333652751,0.968
