decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit
2025,21523,2024,2,2,0,5.913484345862907,637.0,0.0,0.0,HIT,MI,1996.0,1,29.0,0
2025,3096,2024,6,2,1,6.9838956725363515,0.0,54.66666666666668,27.0,PIT,UNKNOWN,1987.0,1,38.0,1
2025,21029,2024,11,2,0,6.326429130876836,0.0,54.333333333333336,23.0,PIT,RP,1998.0,1,27.0,1
2025,14374,2024,22,2,1,7.8895749320356074,0.0,134.0,0.0,PIT,UNKNOWN,1993.0,1,32.0,1
2025,33829,2024,4,2,1,11.021401323609751,0.0,173.33333333333331,0.0,PIT,UNKNOWN,1993.0,1,32.0,1
2025,9777,2024,12,2,0,6.074060397213206,635.0,0.0,0.0,HIT,CI,1991.0,1,34.0,0
2025,33333,2024,16,2,1,6.653560820648505,557.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,24.0,0
2025,12856,2024,13,2,1,5.146817178063286,614.0,0.0,0.0,HIT,UNKNOWN,1989.0,1,36.0,0
2025,17995,2024,26,2,0,6.598532818001484,0.0,204.66666666666663,0.0,PIT,UNKNOWN,1996.0,1,29.0,1
2025,20043,2024,26,2,0,4.168042806712311,425.0,0.0,0.0,HIT,UNKNOWN,1997.0,1,28.0,0
2025,17998,2024,4,2,0,5.113078326151187,0.0,45.333333333333336,23.0,PIT,RP,1993.0,1,32.0,1
2025,18525,2024,17,2,1,9.774205553294756,0.0,189.33333333333331,0.0,PIT,UNKNOWN,1995.0,1,30.0,1
2025,15454,2024,1,2,1,4.169101834401489,0.0,145.66666666666663,0.0,PIT,UNKNOWN,1993.0,1,32.0,1
2025,19556,2024,31,2,0,9.860160339294879,635.0,0.0,0.0,HIT,UTIL,1997.0,1,28.0,0
2025,31349,2024,1,2,1,0.5147385607693598,155.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,24.0,0
